ID	Age	Sex	LicYr	LicMth	ActCar	Kids5	Kids6	PreferCar	Car15K	Reason	Cost	Reliable	Perform	Fuel	Safety	AC/PS	Park	Room	Doors	Prestige	Colour
110	18	2	0	2	3	2	2	2	2	1	3	4	3	3	3	3	3	3	3	3	2
111	25	1	8	0	1	2	2	1	1	1	4	4	4	4	4	3	4	4	2	3	3
112	63	2	46	0	3	2	2	3	2	5	3	3	3	3	3	3	3	3	3	3	3
113	51	1	35	0	3	2	2	2	2	1	2	3	3	3	4	3	3	3	3	1	3
114	19	1	2	0	2	2	2	2	1	6	3	3	4	3	3	2	3	3	2	3	3
115	51	1	30	0	2	1	1	2	2	5	3	4	4	3	4	4	3	3	3	2	3
116	64	1	35	0	1	2	2	2	2	3	3	4	3	3	4	2	3	3	4	2	2
117	60	1	35	0	3	2	2	1	1	1	3	4	4	4	4	4	3	2	2	1	1
118	23	1	5	0	1	2	2	1	1	1	3	4	3	3	4	3	3	3	1	2	3
119	42	1	20	0	3	2	1	1	1	5	3	4	3	4	4	4	4	4	3	2	3
120	21	2	4	0	1	2	2	4	2	4	4	4	3	3	4	3	2	3	2	2	2
121	41	2	24	0	3	2	1	3	2	2	4	3	3	3	3	1	1	3	3	1	2
122	23	2	5	0	3	2	2	4	2	5	4	3	3	3	3	4	2	3	3	2	2
123	68	2	50	0	2	2	2	3	1	2	3	4	3	3	3	3	2	3	1	2	3
124	27	2	10	0	3	2	2	2	2	3	3	4	3	4	4	3	2	2	3	2	3
125	21	1	3	6	2	2	2	2	1	2	4	4	3	3	4	1	1	1	1	1	2
126	18	1	0	2	1	2	2	1	1	1	3	4	4	3	4	1	1	2	1	1	1
127	24	1	0	4	2	1	1	3	2	5	4	4	4	3	4	2	3	4	3	1	2
128	45	1	27	0	3	2	2	2	2	1	3	4	3	3	4	4	4	3	3	3	3
129	47	2	30	0	3	1	1	3	2	2	4	3	1	4	3	2	1	2	2	1	1
130	23	2	2	6	1	2	2	2	2	3	4	3	3	4	3	2	3	2	3	1	1
1	27	2	10	0	3	2	2	2	2	4	4	3	4	2	3	3	1	2	1	3	1
2	24	2	6	0	1	2	2	2	2	4	3	4	3	2	3	1	2	3	1	1	2
3	31	1	15	0	3	1	2	4	2	1	3	4	2	2	4	4	2	4	4	2	1
4	47	1	30	0	1	2	1	2	1	2	4	4	2	3	4	4	3	2	2	2	3
5	23	2	6	0	1	2	2	2	2	3	3	4	4	4	4	3	3	3	2	2	3
7	18	2	1	0	3	2	1	3	2	2	1	3	3	4	4	3	3	3	2	2	1
131	19	1	1	0	2	2	2	1	2	1	4	3	2	3	4	1	2	1	1	1	2
132	23	1	6	0	1	2	2	2	1	1	1	4	2	4	4	2	3	3	1	1	1
133	31	2	10	0	1	1	1	3	2	1	1	2	3	4	4	3	2	4	2	2	1
134	30	1	13	0	3	1	1	2	2	2	3	4	3	3	4	1	1	3	1	1	1
135	51	1	34	0	2	2	2	3	2	1	4	4	4	3	4	4	4	3	4	3	3
136	56	2	39	0	3	2	1	3	2	3	4	4	3	4	4	3	1	3	4	2	4
137	22	2	4	0	2	2	2	2	1	6	4	3	2	3	2	1	1	1	1	1	1
138	18	2	0	4	1	2	2	1	1	4	2	4	3	4	4	2	3	3	4	3	2
139	22	2	4	0	1	2	1	1	1	3	4	3	3	3	3	3	2	3	3	2	2
140	20	1	2	0	2	2	2	1	1	1	4	4	3	3	4	3	4	2	2	1	1
141	23	1	5	0	1	2	2	1	1	5	4	4	3	4	4	4	4	3	2	3	3
142	34	1	0	3	2	2	1	2	2	1	3	4	4	3	4	2	2	3	2	1	1
143	21	1	3	0	2	2	1	2	2	3	4	4	3	4	4	1	2	4	1	2	2
144	20	2	2	0	2	2	2	2	2	5	4	4	4	3	3	4	4	3	2	2	3
149	24	1	6	0	1	2	1	1	1	2	2	4	4	4	3	2	3	2	2	3	3
150	23	2	5	0	3	2	2	2	2	4	3	4	3	3	4	2	3	3	3	2	3
151	43	1	26	0	3	2	1	3	2	2	3	4	2	3	4	2	2	3	3	1	1
152	23	1	6	0	1	2	2	2	1	3	3	4	3	3	4	1	3	2	1	1	1
153	41	1	17	0	3	2	1	3	2	1	4	4	3	3	4	4	4	4	4	2	2
156	18	1	3	0	2	2	1	2	2	6	3	4	4	4	4	2	3	4	3	4	4
241	19	2	1	0	2	2	2	2	1	1	3	3	3	4	4	2	2	3	3	3	3
242	22	2	4	0	1	2	1	3	2	3	4	4	3	3	4	2	2	3	2	3	2
243	22	1	4	0	1	2	2	1	1	2	4	3	3	3	3	1	2	3	1	2	2
245	27	2	9	0	1	2	2	2	2	5	3	4	3	3	3	3	2	3	2	2	2
246	37	2	20	0	3	2	1	3	2	4	3	4	3	3	4	3	3	4	3	2	2
248	23	2	5	0	1	2	2	2	2	2	4	4	3	3	4	2	3	3	2	2	2
249	25	2	7	0	2	1	1	3	2	1	4	4	3	3	4	3	1	3	1	1	1
8	23	1	7	0	2	2	1	3	2	1	4	4	4	3	4	3	3	4	3	2	1
14	51	1	34	0	2	1	2	3	1	1	3	4	4	3	4	4	3	3	4	2	4
20	21	1	5	0	2	2	2	3	2	4	4	4	4	4	3	4	3	4	4	4	4
39	60	2	40	0	3	2	2	1	1	1	3	4	4	3	4	1	1	2	1	1	1
41	51	2	35	0	1	2	1	1	1	5	4	3	1	3	3	3	3	1	1	1	1
42	31	1	13	0	1	2	2	1	1	2	4	4	4	3	3	3	3	3	2	1	1
43	32	2	14	0	2	2	2	3	2	2	4	4	4	4	4	3	3	4	2	2	3
44	25	1	7	0	1	2	2	1	2	6	4	3	2	3	3	3	3	2	2	3	3
45	51	1	34	0	2	2	2	2	2	1	2	4	4	4	4	3	3	3	3	2	2
46	48	1	32	0	3	2	2	1	1	6	3	3	3	3	3	3	3	3	3	3	3
47	60	1	25	0	1	2	2	2	1	2	4	4	4	4	4	4	4	3	3	4	4
49	64	2	46	0	3	2	1	3	2	2	4	3	4	4	4	4	3	4	4	4	1
50	50	1	28	0	2	2	2	1	1	5	4	4	4	4	4	4	4	3	3	2	4
51	25	1	7	0	2	2	2	2	2	2	3	4	4	3	4	3	2	3	3	1	1
289	22	2	4	0	2	2	2	2	1	5	4	3	3	4	4	3	3	3	2	2	2
259	36	1	18	0	3	2	1	2	2	3	3	4	3	3	4	4	3	4	4	3	3
260	23	1	4	0	1	2	2	1	2	4	3	3	4	3	4	1	2	3	1	2	1
290	18	1	0	10	1	2	2	2	1	4	3	4	4	4	3	2	2	3	1	1	1
261	63	2	46	0	3	2	2	4	2	4	3	4	3	3	3	4	2	3	4	1	2
292	36	2	19	0	1	2	2	1	1	3	4	4	2	3	4	2	2	3	2	1	1
296	19	2	2	0	1	2	2	2	1	1	3	4	3	3	3	2	3	2	2	2	2
270	57	1	39	0	3	2	2	3	1	6	3	4	4	3	4	4	4	4	4	2	3
297	18	2	0	10	2	2	2	2	2	1	3	3	3	2	4	2	1	3	2	3	1
276	49	1	33	0	3	2	2	2	2	1	3	4	4	4	4	4	4	4	4	3	2
277	31	2	12	0	3	2	2	3	2	5	4	4	4	4	4	4	3	4	4	2	2
299	61	2	43	0	1	2	2	2	2	1	3	4	3	3	4	3	3	3	3	2	2
278	25	2	7	0	1	2	2	2	1	3	4	4	4	4	3	1	1	3	1	1	2
300	43	2	25	0	1	2	1	1	1	3	4	4	2	3	3	1	3	1	1	1	1
279	34	2	17	0	3	2	2	3	2	5	4	4	4	2	4	4	2	4	3	3	3
280	29	2	11	7	2	2	2	2	2	2	3	4	3	3	3	3	1	3	3	3	3
281	27	1	9	0	2	2	2	3	1	2	4	4	4	3	3	4	4	4	3	3	2
282	30	1	12	0	2	2	2	2	1	4	4	4	3	3	4	2	2	3	4	2	3
301	39	1	11	0	3	2	1	3	2	1	3	4	4	4	4	4	3	3	4	3	1
302	24	1	3	0	1	2	2	2	1	5	2	4	4	2	4	3	3	3	4	3	4
304	55	2	38	0	3	2	1	3	1	6	1	4	4	2	4	4	4	2	1	2	2
305	18	1	0	5	1	2	2	2	1	2	3	4	4	4	3	2	2	3	1	2	2
326	42	1	23	0	3	2	2	2	1	1	3	4	4	4	4	4	3	3	3	2	3
327	24	2	7	0	2	2	2	4	2	6	4	4	4	3	3	4	4	2	2	4	4
306	60	2	43	0	3	2	2	2	1	5	2	4	4	4	4	4	4	4	4	2	3
328	27	2	10	0	1	2	2	4	2	4	4	4	4	2	3	3	2	1	1	3	1
319	18	2	0	8	1	2	2	3	1	4	4	3	4	3	2	2	2	4	3	4	4
320	43	1	26	0	3	2	1	3	2	4	4	4	3	3	3	4	2	4	1	1	2
342	23	1	6	0	2	2	2	2	2	5	4	4	3	3	4	1	3	3	3	1	2
321	18	2	0	6	1	2	2	4	2	2	3	4	3	2	3	1	1	1	1	1	1
343	45	1	28	0	3	1	2	1	1	1	3	4	4	4	4	4	4	4	3	2	2
344	67	1	50	0	3	2	2	2	1	2	3	4	4	4	3	2	2	2	1	1	1
322	21	2	3	0	2	2	2	3	2	5	4	3	3	3	3	2	1	3	1	3	2
325	19	2	0	11	1	2	1	1	1	1	4	4	4	4	3	2	3	3	3	2	2
350	36	2	17	0	3	2	2	3	2	3	4	4	3	3	3	4	2	3	3	2	2
351	42	1	25	0	3	1	2	3	2	3	4	4	3	3	3	4	2	3	3	2	2
352	24	2	6	0	1	2	2	1	1	3	4	4	3	4	2	1	2	2	2	2	4
353	42	1	24	0	3	1	2	2	1	5	3	4	4	4	4	4	3	3	3	2	2
354	44	2	27	0	3	1	2	3	1	5	3	4	2	3	4	4	1	3	3	1	1
355	44	2	27	0	3	2	2	3	2	1	3	4	4	3	4	3	3	4	3	2	2
368	56	2	39	0	3	2	1	3	2	1	1	4	4	4	4	3	4	4	3	1	3
363	19	2	1	0	1	2	2	1	1	3	4	4	3	4	2	2	2	3	4	1	1
371	39	2	18	0	1	2	1	2	1	3	4	4	3	4	3	2	3	3	3	2	2
364	20	2	2	0	1	2	2	2	2	2	3	4	3	3	3	2	2	3	2	3	3
365	25	2	8	0	2	2	2	2	1	3	4	4	3	3	4	4	2	3	2	3	2
372	20	2	4	0	2	2	2	2	2	2	4	3	3	3	4	3	3	1	1	3	3
366	19	2	0	2	2	2	2	2	1	3	4	4	3	3	3	1	2	2	3	3	2
373	45	1	28	0	3	2	1	2	1	5	3	4	4	3	4	4	4	4	4	4	3
374	21	2	3	0	2	2	2	1	2	2	4	4	2	3	1	1	1	2	1	2	2
375	46	1	29	0	2	2	1	1	1	2	3	4	4	1	4	4	4	3	3	3	3
376	66	2	49	0	2	1	1	2	1	2	3	4	3	3	3	4	3	3	3	1	3
381	72	2	55	0	3	2	2	3	2	5	4	4	4	4	4	4	4	4	4	3	3
379	50	1	33	0	3	2	2	2	1	5	4	4	4	4	4	4	4	3	3	2	2
382	28	1	10	0	3	2	2	2	1	4	4	3	4	4	2	4	2	3	3	4	2
157	55	2	37	0	3	2	2	2	1	1	3	4	3	3	4	4	3	3	3	2	3
158	39	1	22	0	3	1	1	3	2	1	3	4	3	4	4	2	2	3	3	3	2
159	20	1	2	0	2	2	2	3	2	4	4	3	4	4	3	2	2	3	1	3	2
160	19	2	1	0	1	2	1	2	2	3	3	4	3	3	4	4	4	2	2	2	2
161	60	2	42	0	3	1	1	3	1	1	3	3	3	3	3	1	3	1	3	1	2
162	25	1	7	0	1	2	2	1	1	1	3	4	4	3	3	2	3	3	2	2	2
163	48	1	19	0	2	2	2	1	1	5	4	4	3	3	4	3	3	3	3	3	2
164	23	2	5	0	3	2	2	3	2	3	3	4	3	3	4	3	3	2	2	2	1
167	36	1	18	0	1	2	2	2	2	1	3	4	3	3	4	4	3	3	3	2	4
168	32	1	15	0	1	2	2	2	1	5	3	4	3	4	4	4	3	3	3	3	2
169	23	1	5	0	1	2	2	2	2	4	3	4	4	3	3	3	3	3	3	3	4
170	19	2	2	0	1	2	2	2	1	1	4	4	2	4	4	3	3	1	2	3	1
171	21	2	2	0	2	2	1	2	1	1	4	4	3	3	4	2	2	3	1	1	1
175	26	2	9	0	2	2	2	3	2	2	3	4	3	4	2	2	3	3	1	1	2
176	21	1	2	0	1	2	2	2	1	5	3	4	4	4	4	2	3	3	1	2	2
177	18	2	0	6	2	2	2	2	2	2	3	4	4	4	4	3	3	4	2	2	2
178	27	2	10	0	1	2	2	1	1	3	4	4	3	3	4	2	2	2	1	3	2
179	35	1	17	0	1	2	1	2	1	5	3	4	4	3	4	2	4	4	2	2	3
180	18	1	0	10	2	2	1	1	2	3	4	3	3	2	2	2	1	1	3	1	1
181	23	1	5	0	3	2	1	1	2	1	4	4	4	4	4	3	3	3	2	3	2
182	20	1	3	0	1	2	2	1	1	1	4	4	3	4	4	4	3	3	3	2	3
183	22	2	4	0	1	2	2	2	2	3	4	4	4	4	4	3	3	3	4	2	3
184	19	2	1	0	1	2	2	1	1	4	3	4	4	4	4	2	3	3	1	2	3
185	32	1	14	0	2	1	2	3	2	1	3	4	3	3	4	3	2	3	3	1	2
186	19	1	1	0	1	2	2	2	1	4	3	4	3	3	4	2	3	2	2	1	1
187	21	1	3	0	2	2	2	2	1	1	3	4	4	3	4	3	3	3	2	2	1
189	63	2	43	0	3	2	1	3	2	1	2	4	4	4	4	3	1	3	4	2	3
190	42	2	24	0	2	2	1	3	2	1	4	4	3	2	3	4	4	4	3	4	3
52	28	2	11	0	2	2	2	2	2	2	3	4	3	3	3	3	3	3	4	2	2
55	25	1	5	0	1	2	2	2	2	1	3	4	4	4	4	3	2	3	2	4	4
58	25	1	7	0	1	1	2	2	1	1	4	4	3	4	4	3	2	2	4	1	1
60	50	1	33	0	3	2	1	3	2	5	3	3	3	3	4	3	2	3	3	4	3
63	55	1	38	0	2	2	2	2	2	1	4	4	4	2	4	1	3	2	2	1	1
65	49	1	32	0	3	1	2	2	2	6	3	3	1	3	4	4	3	3	1	1	1
67	18	2	0	4	3	2	2	4	2	2	3	4	3	3	3	2	2	2	2	1	1
68	18	2	1	0	2	2	1	2	1	1	3	4	3	4	4	2	3	3	1	2	3
69	49	1	30	0	3	2	2	4	1	4	3	4	4	4	3	3	2	3	3	1	2
70	46	1	31	0	1	2	1	3	2	1	3	3	2	2	4	4	4	4	3	3	3
71	24	1	5	0	1	2	2	2	1	4	4	4	4	4	4	4	3	3	4	3	3
72	37	2	22	0	2	1	2	3	2	2	2	4	2	3	2	2	3	4	3	1	1
73	22	2	4	0	3	2	2	2	2	1	3	3	3	3	3	4	3	2	2	1	1
74	35	2	2	0	2	1	2	2	2	2	3	4	4	3	4	2	1	3	3	1	1
191	61	1	30	0	3	2	2	3	2	6	3	4	3	2	4	4	2	3	4	3	2
192	67	2	35	0	2	2	1	2	1	3	4	4	4	4	4	3	3	3	4	2	2
193	32	2	17	0	3	2	1	2	2	5	3	4	2	3	4	4	3	3	3	2	2
194	34	1	16	0	3	2	1	1	1	1	3	4	4	4	4	3	3	3	3	3	3
195	42	2	22	0	2	2	1	3	2	2	4	4	3	3	2	4	2	3	2	3	1
196	60	1	34	0	1	2	2	1	1	1	3	4	4	4	4	3	3	3	3	1	1
